Event	ID	Name			Wwise Object Path	Notes
	540993415	Start_Music			\Default Work Unit\Music\Start_Music	
	1003497107	Start_Menu_Music			\Default Work Unit\Music\Start_Menu_Music	
	1114964412	Start_Game			\Default Work Unit\SFX\UI\Start_Game	
	2837384057	Stop_Music			\Default Work Unit\Music\Stop_Music	
	3945748993	Stop_Menu_Music			\Default Work Unit\Music\Stop_Menu_Music	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	47316527	The_Fall_Music_A(Compressed)	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\The_Fall_Music_A(Compressed)_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\In-Game\Music\A\The_Fall_Music_A(Compressed)\The_Fall_Music_A(Compressed)		9216064
	53718916	Fall_Menu1_Sting_BitCrushed_Faded	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\Fall_Menu1_Sting_BitCrushed_Faded_B23C0C93.wem		\Actor-Mixer Hierarchy\Default Work Unit\Menu\Fall_Menu1_Sting_BitCrushed_Faded		1023308
	308222834	The_Fall_Music_B_To_C	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\The_Fall_Music_B_To_C_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\In-Game\Music\The_Fall_Music_B_To_C\The_Fall_Music_B_To_C		1084300
	391436893	The_Fall_Music_E_Compressed	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\The_Fall_Music_E_Compressed_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\In-Game\Music\E\The_Fall_Music_E_Compressed\The_Fall_Music_E_Compressed		9758180
	605108431	The_Fall_Music_D(new)_Compressed	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\The_Fall_Music_D(new)_Compressed_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\In-Game\Music\D\The_Fall_Music_D(new)_Compressed\The_Fall_Music_D(new)_Compressed		9758180
	739456777	The_Fall_Music_F_Compressed	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\The_Fall_Music_F_Compressed_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\In-Game\Music\F\The_Fall_Music_F_Compressed\The_Fall_Music_F_Compressed		5421240
	968211500	The_Fall_Music_C(new)4_Compressed	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\The_Fall_Music_C(new)4_Compressed_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\In-Game\Music\C\The_Fall_Music_C(new)4_Compressed\The_Fall_Music_C(new)4_Compressed		9758180
	993902946	UI_hover	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\SFX\UI_hover_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\UI_hover		7860
	1027916952	The_Fall_Music_B(Compressed)	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\The_Fall_Music_B(Compressed)_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\In-Game\Music\B\The_Fall_Music_B(Compressed)\The_Fall_Music_B(Compressed)		9216064
	1042213412	The_Fall_Menu_(withTail)	M:\The_Fall_New\The Fall\The Fall\The Fall_WwiseProject\.cache\Windows\SFX\The_Fall_Menu_(withTail)_8956FC97.wem		\Interactive Music Hierarchy\Default Work Unit\Menu\Menu_Music\The_Fall_Menu_(withTail)\The_Fall_Menu_(withTail)		2710652

